id,family_id,name,slug,description
proc_cornea_ultrasound,fam_ultrasound,Ultrasound of cornea,proc_cornea_ultrasound
proc_creatinine_blood_test,fam_blood_test,Creatinine blood test,proc_creatinine_blood_test
proc_critical_care,fam_emergency,Critical care,proc_critical_care
proc_cyanocobalamin_blood_test,fam_blood_test,Cyanocobalamin blood test,proc_cyanocobalamin_blood_test
proc_diagnostic_mammography,fam_mammography,Diagnostic mammography,proc_diagnostic_mammography
proc_elbow_x_ray,fam_x_ray,X-ray of elbow,proc_elbow_x_ray
proc_electrical_stimulation_physical_therapy,fam_physical_therapy,Electrical stimulation for physical therapy,proc_electrical_stimulation_physical_therapy
proc_emergency_visit,fam_emergency,Emergency visit,proc_emergency_visit
proc_face_ct_scan,fam_ct_scan,CT scan of face,proc_face_ct_scan
proc_ferritin_blood_test,fam_blood_test,Ferritin blood test,proc_ferritin_blood_test
proc_foot_x_ray,fam_x_ray,X-ray of foot,proc_foot_x_ray
proc_free_thyroxine_blood_test,fam_blood_test,Free thyroxine blood test,proc_free_thyroxine_blood_test
proc_group_chemicals_blood_test,fam_blood_test,Group chemicals blood test,proc_group_chemicals_blood_test
proc_hand_x_ray,fam_x_ray,X-ray of hand,proc_hand_x_ray
proc_head_brain_ct_scan,fam_ct_scan,CT scan of head or brain,proc_head_brain_ct_scan
proc_head_neck_blood_flow_ultrasound,fam_ultrasound,Ultrasound of head and neck blood flow,proc_head_neck_blood_flow_ultrasound
proc_head_neck_tissue_ultrasound,fam_ultrasound,Ultrasound of head and neck soft tissue,proc_head_neck_tissue_ultrasound
proc_hearing_speech_test,fam_hearing_speech,Hearing and speech test,proc_hearing_speech_test
proc_heart_blood_flow_ultrasound,fam_ultrasound,Ultrasound of heart blood flow,proc_heart_blood_flow_ultrasound
proc_heart_stress_test_ecg,fam_ecg,Heart stress test with ECG,proc_heart_stress_test_ecg
proc_heart_ultrasound,fam_ultrasound,Ultrasound of heart,proc_heart_ultrasound
proc_hemoglobin_a1c_blood_test,fam_blood_test,Hemoglobin A1C blood test,proc_hemoglobin_a1c_blood_test
proc_hip_pelvis_spine_density_dxa,fam_dxa,"Dxa bone density measurement of hip, pelvis, spine",proc_hip_pelvis_spine_density_dxa
proc_hip_thigh_joint_replacement,fam_joint_replacement,Replacement of thigh and hip joint,proc_hip_thigh_joint_replacement
proc_hip_x_ray,fam_x_ray,X-ray of hip,proc_hip_x_ray
proc_home_visit,fam_home_visit,Home visit,proc_home_visit
proc_immunohistochemistry,fam_immunostaining,Special stained specimen slides,proc_immunohistochemistry
proc_influenza_doo_immunoassay,fam_immunoassay,Immunoassay with direct visual observation for influenza,proc_influenza_doo_immunoassay
proc_influenza_vaccine,fam_vaccine,Influenza vaccine,proc_influenza_vaccine
proc_initial_hospital_care,fam_hospital_care,Initial hospital care,proc_initial_hospital_care
proc_initial_nursing_facility_care,fam_nursing_facility_care,Initial nursing facility care,proc_initial_nursing_facility_care
proc_iron_blood_test,fam_blood_test,Iron blood test,proc_iron_blood_test
proc_knee_joint_replacement,fam_joint_replacement,Replacement of knee joint,proc_knee_joint_replacement
proc_knee_joint_replacement_anesthesia,fam_anesthesia,Anesthesia for replacement of knee joint,proc_knee_joint_replacement_anesthesia
proc_knee_x_ray,fam_x_ray,X-ray of knee,proc_knee_x_ray
proc_large_bowel_anesthesia,fam_anesthesia,Anesthesia for procedure on large bowel,proc_large_bowel_anesthesia
proc_large_bowel_biopsy,fam_biopsy,Biopsy of large bowel,proc_large_bowel_biopsy
proc_large_bowel_endoscopy,fam_endoscopy,Endoscopy of large bowel,proc_large_bowel_endoscopy
proc_leg_arteries_ultrasound,fam_ultrasound,Ultrasound of leg arteries,proc_leg_arteries_ultrasound
proc_leg_ct_scan,fam_ct_scan,CT scan of leg,proc_leg_ct_scan
proc_leg_joint_mri,fam_mri,MRI of leg joint,proc_leg_joint_mri
proc_lens_surgery_anesthesia,fam_anesthesia,Anesthesia for lens surgery,proc_lens_surgery_anesthesia
proc_lipids_blood_test,fam_blood_test,Lipids blood test,proc_lipids_blood_test
proc_lower_leg_x_ray,fam_x_ray,X-ray of lower leg,proc_lower_leg_x_ray
proc_lower_spinal_canal_mri,fam_mri,MRI of lower spinal canal,proc_lower_spinal_canal_mri
proc_lower_spine_ct_scan,fam_ct_scan,CT scan of lower spine,proc_lower_spine_ct_scan
proc_lower_spine_x_ray,fam_x_ray,X-ray of lower spine,proc_lower_spine_x_ray
proc_lung_diffusing_capacity_test,fam_lung_test,Lung diffusing capacity test,proc_lung_diffusing_capacity_test
proc_urinalysis,fam_urine_test,Urinalysis,proc_urinalysis
proc_microscope_urinalysis,fam_urine_test,Urinalysis with microscope,proc_microscope_urinalysis
proc_microalbumin_urinalysis,fam_urine_test,Microalbumin urinalysis,proc_microalbumin_urinalysis
proc_moderate_sedation_services,fam_sedation,Moderate sedation service,proc_moderate_sedation_services
proc_office_visit,fam_office_visit,Office visit,proc_office_visit
proc_pap_smear_test,fam_smear_test,Screening papanicolaou smear,proc_pap_smear_test
proc_pelvis_x_ray,fam_x_ray,X-ray of pelvis,proc_pelvis_x_ray
proc_physical_therapy,fam_physical_therapy,Physical therapy,proc_physical_therapy
proc_pneumococcal_vaccine,fam_vaccine,Pneumococcal vaccine,proc_pneumococcal_vaccine
proc_precancer_skin_growth_destruction,fam_skin,Destruction of precancer skin growth,proc_precancer_skin_growth_destruction
proc_prostate_specific_antigen_blood_test,fam_blood_test,Prostate specific antigen blood test,proc_prostate_specific_antigen_blood_test
proc_psychiatric_eval,fam_mental_health_eval,Psychiatric evaluation,proc_psychiatric_eval
proc_psychotherapy,fam_mental_health_therapy,Psychotherapy,proc_psychotherapy
proc_routine_ecg,fam_ecg,Routine ECG,proc_routine_ecg
proc_sarscov2_doo_immunoassay,fam_immunoassay,SARS-COV2 detection with DOO immunoassay,proc_sarscov2_doo_immunoassay
proc_sarscov2_immunoassay,fam_immunoassay,SARS-COV2 detection with immunoassay,proc_sarscov2_immunoassay
proc_sarscov2_influenza_immunoassay,fam_immunoassay,SARS-COV2 and influenza detection with immunoassay,proc_sarscov2_influenza_immunoassay
proc_sarscov2_vaccine,fam_vaccine,SARS-COV2 vaccine,proc_sarscov2_vaccine
proc_screening_mammography,fam_mammography,Screening mammography,proc_screening_mammography
proc_self_care_training,fam_training,Self care training,proc_self_care_training
proc_shoulder_x_ray,fam_x_ray,X-ray of shoulder,proc_shoulder_x_ray
proc_skin_growth_biopsy,fam_biopsy,Biopsy of skin growth,proc_skin_growth_biopsy
proc_skin_growth_destruction,fam_skin,Destruction of skin growth,proc_skin_growth_destruction
proc_small_bowel_anesthesia,fam_anesthesia,Anesthesia of small bowel,proc_small_bowel_anesthesia
proc_small_bowel_biopsy,fam_biopsy,Biopsy of small bowel,proc_small_bowel_biopsy
proc_small_bowel_endoscopy,fam_endoscopy,Endoscopy of small bowel,proc_small_bowel_endoscopy
proc_small_large_bowel_anesthesia,fam_anesthesia,Anesthesia of small or large bowel,proc_small_large_bowel_anesthesia
proc_spinal_chiropractic,fam_chiropractic,Chiropractic manipulative treatment of spine,proc_spinal_chiropractic
proc_spirometry_test,fam_lung_test,Spirometry test,proc_spirometry_test
proc_streptococcus_doo_immunoassay,fam_immunoassay,Streptococcus detection with DOO immunoassay,proc_streptococcus_doo_immunoassay
proc_subsequent_hospital_care,fam_hospital_care,Subsequent hospital care,proc_subsequent_hospital_care
proc_subsequent_nursing_facility_care,fam_nursing_facility_care,Subsequent nursing facility care,proc_subsequent_nursing_facility_care
proc_tele_medical_discussion,fam_tele_medicine,Phone medical discussion,proc_tele_medical_discussion
proc_thigh_bone_x_ray,fam_x_ray,X-ray of thigh bone,proc_thigh_bone_x_ray
proc_transitional_care_mngmnt,fam_hospital_care,Transitional care management,proc_transitional_care_mngmnt
proc_transvaginal_ultrasound,fam_ultrasound,Transvaginal ultrasound,proc_transvaginal_ultrasound
proc_tsh_blood_test,fam_blood_test, Thyroid stimulating hormone (tsh) blood test,proc_tsh_blood_test
proc_tympanometry_test,fam_hearing,Tympanometry test,proc_tympanometry_test
proc_upper_abdomen_anesthesia,fam_anesthesia,Anesthesia for procedure on upper abdomen,proc_upper_abdomen_anesthesia
proc_upper_spinal_canal_mri,fam_mri,MRI of upper spinal canal,proc_upper_spinal_canal_mri
proc_upper_spine_ct_scan,fam_ct_scan,CT scan of upper spine,proc_upper_spine_ct_scan
proc_upper_spine_x_ray,fam_x_ray,X-ray of upper spine,proc_upper_spine_x_ray
proc_vein_chemotherapy,fam_chemotherapy,Chemotherapy through vein,proc_vein_chemotherapy
proc_visual_system_exam,fam_vision,Visual system exam,proc_visual_system_exam
proc_vitamin_d3_blood_test,fam_blood_test,Vitamin D3 blood test,proc_vitamin_d3_blood_test
proc_voice_box_endoscopy,fam_endoscopy,Endoscopy of voice box,proc_voice_box_endoscopy
proc_wrist_x_ray,fam_x_ray,X-ray of wrist,proc_wrist_x_ray
