id,family_id,name,slug,description
proc_tympanometry_test,fam_hearing,Tympanometry test,tympanometry-test
proc_upper_abdomen_anesthesia,fam_anesthesia,Anesthesia for procedure on upper abdomen,upper-abdomen-anesthesia
proc_upper_spinal_canal_mri,fam_mri,MRI of upper spinal canal,upper-spinal-canal-mri
proc_upper_spine_ct_scan,fam_ct_scan,CT scan of upper spine,upper-spine-ct-scan
proc_upper_spine_x_ray,fam_x_ray,X-ray of upper spine,upper-spine-x-ray
proc_vein_chemotherapy,fam_chemotherapy,Chemotherapy through vein,vein-chemotherapy
proc_visual_system_exam,fam_vision,Visual system exam,visual-system-exam
proc_vitamin_d3_blood_test,fam_blood_test,Vitamin D3 blood test,vitamin-d3-blood-test
proc_voice_box_endoscopy,fam_endoscopy,Endoscopy of voice box,voice-box-endoscopy
proc_wrist_x_ray,fam_x_ray,X-ray of wrist,wrist-x-ray
