id,family_id,name,slug,description,common_name,search_terms
proc_cardiopulmonary_resuscitation,fam_cardiac_procedure,CPR,cpr,Cardiopulmonary resuscitation,CPR,
proc_cardioversion_external,fam_cardiac_procedure,Cardioversion,cardioversion,Electric shock for heart rhythm,Heart Shock,
proc_carpal_tunnel_release,fam_nerve_surgery,Carpal Tunnel Surgery,carpal-tunnel-surgery,Wrist nerve decompression,Carpal Tunnel Release,"carpal tunnel surgery,wrist surgery,hand numbness surgery"
proc_cataract_surgery,fam_eye_surgery,Cataract Surgery,cataract-surgery,Clouded lens removal,Cataract Surgery,"lens surgery,eye lens,cloudy vision,vision restoration,lens replacement"
proc_cbc_automated,fam_blood_test,CBC,cbc,Complete blood count,CBC,"blood count,complete blood count,infection test,anemia test,white blood cell"
proc_cea,fam_blood_test,CEA Test,cea-test,Cancer marker,CEA,
proc_cefazolin_injection,fam_injection,Cefazolin Injection,cefazolin-injection,Antibiotic injection,Ancef,
proc_central_venous_catheter_insertion,fam_vascular_access,Central Line Insertion,central-line,Central venous catheter placement,Central Line,
proc_cervical_cerclage_repair,fam_pregnancy_care,Cervical Cerclage,cervical-cerclage,Cervix stitching during pregnancy,Cervical Stitch,
proc_cesarean_delivery,fam_delivery,Cesarean Section,cesarean-section,C-section delivery,C-Section,"c section,c-section,csection,surgical delivery,surgical birth"
proc_chest_cancer_screen_ct_scan,fam_ct_scan,Lung Cancer Screening,lung-cancer-screening,Low-dose lung CT,Lung Screening,
proc_chest_ct_scan,fam_ct_scan,Chest CT Scan,chest-ct,Lung CT imaging,Chest CT,"lung ct,chest scan,lung scan,pulmonary ct,thoracic ct"
proc_chest_mri,fam_mri,Chest MRI,chest-mri,Chest MRI scan,Chest MRI,"lung mri,thoracic mri,chest imaging"
proc_chest_tube,fam_chest_procedure,Chest Tube,chest-tube,Tube to drain chest,Chest Tube,
proc_chest_x_ray,fam_x_ray,Chest X-Ray,chest-x-ray,Lung and heart X-ray,Chest X-Ray,"lung xray,lung x-ray,cxr,chest film,pneumonia test,chest radiograph"
proc_chlamydia_culture,fam_culture,Chlamydia Culture,chlamydia-culture,Chlamydia test,Chlamydia,
proc_chlamydia_dna_probe,fam_culture,Chlamydia PCR,chlamydia-pcr,Chlamydia DNA test,Chlamydia PCR,
proc_chloroprocaine_injection,fam_injection,Chloroprocaine Injection,chloroprocaine-injection,Local anesthetic,Nesacaine,
proc_cholangiography,fam_gallbladder,Bile Duct Imaging,cholangiography,Bile duct X-ray during surgery,Bile Duct X-ray,
proc_cholesterol_total,fam_blood_test,Total Cholesterol,total-cholesterol,Cholesterol level,Cholesterol,"cholesterol check,cholesterol screening,cholesterol level"
proc_chronic_care_management,fam_chronic_care,Chronic Care Management,chronic-care-management,Ongoing management of chronic conditions,Chronic Care,
proc_ck,fam_blood_test,CK Test,ck-test,Muscle enzyme test,CK,
proc_closed_treatment_distal_fibula_fracture,fam_fracture_treatment,Ankle Fracture Treatment,ankle-fracture,Treatment for broken fibula,Fibula Fracture,
proc_closed_treatment_distal_radius_fracture,fam_fracture_treatment,Wrist Fracture Treatment,wrist-fracture,Treatment for broken wrist,Wrist Fracture,
proc_closed_treatment_shoulder_dislocation,fam_fracture_treatment,Shoulder Dislocation Treatment,shoulder-dislocation,Treatment for dislocated shoulder,Shoulder Reduction,
proc_closed_treatment_tibial_shaft_fracture,fam_fracture_treatment,Shin Fracture Treatment,shin-fracture,Treatment for broken tibia,Tibia Fracture,
proc_clotting_time_blood_test,fam_blood_test,PT/INR Test,pt-inr-test,Blood clotting test,INR,
proc_colonoscopy,fam_colonoscopy,Colonoscopy,colonoscopy,Colon examination with camera,Colonoscopy,"colon cancer screening,colon exam,bowel scope,colorectal,colon check"
proc_colonoscopy_with_ablation,fam_colonoscopy,Colonoscopy with Ablation,colonoscopy-ablation,Colonoscopy with tissue destruction,Colon Ablation,
proc_colonoscopy_with_decompression,fam_colonoscopy,Colonoscopy with Decompression,colonoscopy-decompression,Colonoscopy to relieve blockage,Colon Decompression,
proc_colonoscopy_with_dilation,fam_colonoscopy,Colonoscopy with Dilation,colonoscopy-dilation,Colonoscopy with stricture widening,Colon Dilation,
proc_colonoscopy_with_emr,fam_colonoscopy,Colonoscopy with EMR,colonoscopy-emr,Colonoscopy with mucosal resection,Colon EMR,
proc_colonoscopy_with_endoscopic_ultrasound,fam_colonoscopy,Colonoscopy with EUS,colonoscopy-eus,Colonoscopy with ultrasound,Colon EUS,
proc_colonoscopy_with_foreign_body_removal,fam_colonoscopy,Colonoscopy Foreign Body Removal,colonoscopy-foreign-body,Colonoscopy to remove object,Colon Foreign Body,
proc_colonoscopy_with_polypectomy,fam_colonoscopy,Colonoscopy with Polyp Removal,colonoscopy-polyp-removal,Colonoscopy with polyp removal,Polyp Removal,"polyp removal,colon polyp,colonoscopy polyp,precancer removal"
proc_colonoscopy_with_stent,fam_colonoscopy,Colonoscopy with Stent,colonoscopy-stent,Colonoscopy with stent placement,Colon Stent,
proc_complete_blood_cell_count_blood_test,fam_blood_test,CBC with Differential,cbc-differential,Complete blood count with types,CBC with Diff,"cbc differential,blood count with diff,full blood count"
proc_complex_laceration_repair,fam_wound_repair,Complex Wound Repair,complex-wound-repair,Repair for complex wounds,Complex Stitches,
proc_contraction_stress_test,fam_fetal_monitoring,Contraction Stress Test,contraction-stress-test,Baby monitoring during contractions,CST,
proc_covid_19_pcr,fam_immunoassay,COVID-19 PCR,covid-pcr,COVID molecular test,COVID PCR,
proc_creatinine,fam_blood_test,Creatinine Test,creatinine-test,Kidney function test,Creatinine,"kidney function,renal function,kidney test,creatinine level"
proc_creatinine_blood_test,fam_blood_test,Creatinine (Other),creatinine-other,Creatinine from other source,Creatinine,
proc_critical_care,fam_critical_care,Critical Care,critical-care,Intensive care for critical illness,ICU Care,"icu,intensive care,critical illness"
proc_ct_abdomen,fam_ct_scan,Abdominal CT Scan,abdominal-ct,Belly CT imaging,Belly CT,"belly ct,stomach ct,abdominal ct scan"
proc_ct_neck,fam_ct_scan,Neck CT Scan,neck-ct,Neck CT imaging,Neck CT,
proc_ct_upper_extremity,fam_ct_scan,Arm CT Scan,arm-ct,Arm CT imaging,Arm CT,
proc_culture_bacterial,fam_culture,Bacterial Culture,bacterial-culture,General bacterial culture,Culture,
proc_cyanocobalamin_blood_test,fam_blood_test,Vitamin B12 Test,vitamin-b12-test,B12 level,B12,
proc_daily_management_epidural,fam_anesthesia,Epidural Management,epidural-management,Daily epidural catheter care,Epidural Care,
proc_decompression_unspecified_nerve,fam_nerve_surgery,Nerve Surgery,nerve-surgery,Nerve decompression surgery,Nerve Surgery,
proc_delivery_of_placenta,fam_delivery,Placenta Delivery,placenta-delivery,Afterbirth delivery,Afterbirth,
proc_dexamethasone_injection,fam_injection,Dexamethasone Injection,dexamethasone-injection,Steroid injection,Decadron,
proc_diagnostic_laparoscopy,fam_abdominal_surgery,Diagnostic Laparoscopy,diagnostic-laparoscopy,Minimally invasive abdominal exam,Belly Scope,
proc_diagnostic_mammography,fam_mammography,Diagnostic Mammogram,diagnostic-mammogram,Breast problem evaluation,Diagnostic Mammogram,"breast lump mammogram,suspicious mammogram,breast workup"
proc_drug_screen,fam_blood_test,Drug Screen,drug-screen,Drug test,Drug Test,
proc_duplex_lower_extremity_arterial_unilateral,fam_ultrasound,Leg Arterial Duplex,leg-arterial-duplex,Single leg artery ultrasound,Leg Duplex,
proc_egd,fam_egd,Upper Endoscopy (EGD),upper-endoscopy,Stomach and esophagus exam,EGD,"stomach scope,esophagus exam,throat scope,upper gi,gastroscopy,stomach exam"
proc_egd_with_ablation,fam_egd,EGD with Ablation,egd-ablation,Upper endoscopy with tissue destruction,Esophageal Ablation,
proc_egd_with_bleeding_control,fam_egd,EGD Bleeding Control,egd-bleeding,Upper endoscopy to stop bleeding,GI Bleeding Control,
proc_egd_with_dilation,fam_egd,EGD with Dilation,egd-dilation,Upper endoscopy with stricture widening,Esophageal Dilation,
proc_egd_with_eus,fam_egd,EGD with Ultrasound,egd-ultrasound,Upper endoscopy with EUS,EGD EUS,
proc_egd_with_foreign_body_removal,fam_egd,EGD Foreign Body Removal,egd-foreign-body,Upper endoscopy to remove object,Swallowed Object Removal,
proc_egd_with_peg_placement,fam_gi_tube,PEG Tube Placement,peg-tube,Feeding tube through stomach,Feeding Tube,
proc_egd_with_thermal_therapy_esophagus,fam_egd,EGD Thermal Therapy,egd-thermal,Upper endoscopy with heat treatment,Esophageal Thermal,
proc_egd_with_transmural_drainage,fam_egd,EGD with Drainage,egd-drainage,Upper endoscopy with fluid drainage,EGD Drainage,
proc_egd_with_tube_placement,fam_gi_tube,EGD with Tube,egd-tube,Upper endoscopy with tube insertion,GI Tube,
proc_egd_with_tumor_removal,fam_egd,EGD with Tumor Removal,egd-tumor-removal,Upper endoscopy with lesion removal,EGD Tumor Removal,
proc_egd_with_variceal_treatment,fam_egd,EGD Variceal Treatment,egd-varices,Upper endoscopy for bleeding veins,Variceal Banding,
proc_elbow_x_ray,fam_x_ray,Elbow X-Ray,elbow-x-ray,Elbow X-ray,Elbow X-Ray,
proc_electrical_stimulation_physical_therapy,fam_physical_therapy,Electrical Stimulation,electrical-stimulation,E-stim therapy,E-Stim,
proc_emergency_visit,fam_emergency,Emergency Room Visit,er-visit,Emergency department care,ER Visit,"er visit,emergency room,urgent care,emergency,ed visit"
proc_emg,fam_nerve_study,EMG Test,emg-test,Muscle electrical activity test,EMG,"muscle test,nerve muscle test,electromyography"
proc_endoscopic_carpal_tunnel_release,fam_nerve_surgery,Endoscopic Carpal Tunnel,endoscopic-carpal-tunnel,Minimally invasive carpal tunnel,Scope Carpal Tunnel,
proc_endotracheal_intubation,fam_airway,Intubation,intubation,Breathing tube placement,Intubation,
proc_enoxaparin_injection,fam_injection,Enoxaparin Injection,enoxaparin-injection,Blood thinner injection,Lovenox,
proc_epidural_injection,fam_lumbar_puncture,Epidural Steroid Injection,epidural-injection,Steroid injection near spine,Epidural,"epidural steroid,back injection,spine injection,esi"
proc_epigastric_hernia_repair,fam_hernia,Upper Belly Hernia Repair,epigastric-hernia-repair,Epigastric hernia surgery,Upper Belly Hernia,
proc_episiotomy_repair,fam_delivery,Episiotomy Repair,episiotomy-repair,Delivery incision repair,Episiotomy,
proc_external_cephalic_version,fam_pregnancy_care,Baby Turning Procedure,external-cephalic-version,Turning breech baby,Baby Turning,
proc_eye_exam,fam_eye_exam,Comprehensive Eye Exam,eye-exam,Complete vision examination,Eye Exam,"vision exam,eye check,vision check,eye test,glasses exam"
proc_face_ct_scan,fam_ct_scan,Face CT Scan,face-ct,Facial CT imaging,Face CT,
proc_fecal_occult_blood,fam_culture,Stool Blood Test,stool-blood-test,Hidden blood in stool,FOBT,
proc_femoral_nerve_block,fam_nerve_block,Thigh Nerve Block,thigh-nerve-block,Femoral nerve block,Femoral Block,
proc_ferritin_blood_test,fam_blood_test,Ferritin Test,ferritin-test,Iron storage test,Ferritin,
proc_fetal_biophysical_profile,fam_fetal_monitoring,Fetal Biophysical Profile,biophysical-profile,Comprehensive fetal assessment,BPP,
proc_fetal_non_stress_test,fam_fetal_monitoring,Fetal Non-Stress Test,non-stress-test,Baby heart rate monitoring,NST,"nst,baby heartbeat test,fetal monitoring"
proc_fluoroscopic_guidance_needle_placement,fam_fluoroscopy,Fluoroscopy-Guided Procedure,fluoroscopy-guided-procedure,Fluoro needle guidance,Fluoro Guidance,
proc_fluoroscopy_guidance,fam_fluoroscopy,Fluoroscopy Guidance,fluoroscopy-guidance,Real-time X-ray guidance,Fluoro Guidance,
proc_foley_catheter_insertion,fam_catheter,Urinary Catheter,urinary-catheter,Foley catheter insertion,Foley,
proc_foot_x_ray,fam_x_ray,Foot X-Ray,foot-x-ray,Foot X-ray,Foot X-Ray,
proc_foreign_body_removal,fam_abscess,Foreign Body Removal,foreign-body-removal,Removing embedded objects,Splinter Removal,
proc_free_thyroxine_blood_test,fam_blood_test,Free T4 Test,free-t4-test,Thyroid hormone test,T4,
proc_ggt,fam_blood_test,GGT Test,ggt-test,Liver enzyme test,GGT,
proc_glucose_blood_test,fam_blood_test,Blood Sugar Test,blood-sugar-test,Blood glucose,Blood Sugar,"blood sugar,glucose,fasting glucose,diabetes test,sugar test"
proc_glucose_tolerance_test,fam_blood_test,Glucose Tolerance Test,glucose-tolerance-test,Diabetes screening,GTT,
proc_gonioscopy,fam_eye_exam,Glaucoma Angle Exam,gonioscopy,Eye drainage angle exam,Glaucoma Test,
proc_group_chemicals_blood_test,fam_blood_test,Metabolic Panel,metabolic-panel,Blood chemistry panel,Chem Panel,"metabolic panel,chem panel,bmp,cmp,blood chemistry"
proc_h_pylori_stool_antigen,fam_culture,H. Pylori Stool Test,h-pylori-stool,Stomach bacteria stool test,H. Pylori Stool,
proc_hand_wrist_proc,fam_hand_wrist,Hand/Wrist Procedure,hand-wrist-procedure,Hand or wrist surgery,Hand Surgery,
proc_hand_x_ray,fam_x_ray,Hand X-Ray,hand-x-ray,Hand X-ray,Hand X-Ray,
proc_hcg,fam_blood_test,HCG Test,hcg-test,Pregnancy hormone,HCG,
proc_hdl_cholesterol,fam_blood_test,HDL Cholesterol,hdl-cholesterol,Good cholesterol,HDL,
proc_head_brain_ct_scan,fam_ct_scan,Head CT Scan,head-ct,Brain CT imaging,Head CT,"brain ct,head scan,brain scan,concussion scan,stroke scan"
proc_head_neck_blood_flow_ultrasound,fam_ultrasound,Carotid Ultrasound,carotid-ultrasound,Neck artery ultrasound,Carotid Doppler,"carotid ultrasound,carotid doppler,neck artery ultrasound"
proc_head_neck_tissue_ultrasound,fam_ultrasound,Neck Ultrasound,neck-ultrasound,Thyroid and neck ultrasound,Neck Ultrasound,
proc_hearing_speech_test,fam_hearing_speech,Hearing and Speech Test,hearing-speech-test,Audiometry and speech test,Hearing Test,
proc_heart_blood_flow_ultrasound,fam_heart_ultrasound,Heart Doppler,heart-doppler,Heart blood flow ultrasound,Cardiac Doppler,"cardiac doppler,heart flow,doppler echo"
proc_heart_stress_test_ecg,fam_ecg,Stress Test,stress-test,Exercise heart test,Stress Test,"treadmill test,exercise test,cardiac stress,stress ecg"
proc_heart_ultrasound,fam_heart_ultrasound,Echocardiogram,echocardiogram,Heart ultrasound,Echo,"echo,echocardiogram,cardiac ultrasound,heart echo,cardiac echo"
proc_helicobacter_pylori_antibody,fam_blood_test,H. Pylori Antibody,h-pylori-antibody,Stomach bacteria test,H. Pylori,
proc_hematocrit,fam_blood_test,Hematocrit,hematocrit,Red blood cell percentage,Hematocrit,
proc_hemoglobin,fam_blood_test,Hemoglobin,hemoglobin,Hemoglobin level,Hemoglobin,"hgb,blood hemoglobin"
proc_hemoglobin_a1c_blood_test,fam_blood_test,Hemoglobin A1C,hemoglobin-a1c,Diabetes control test,A1C,"a1c,hba1c,diabetes control,blood sugar control,glycated hemoglobin"
proc_hepatic_function_panel,fam_blood_test,Liver Panel,liver-panel,Liver function tests,Liver Panel,"liver function,liver test,lft,liver panel"
proc_hepatitis_b_surface_antigen,fam_blood_test,Hepatitis B Test,hepatitis-b-test,Hep B surface antigen,Hep B,
proc_hepatitis_c_antibody,fam_blood_test,Hepatitis C Test,hepatitis-c-test,Hep C antibody,Hep C,
proc_hip_pelvis_spine_density_dxa,fam_dxa,Bone Density Test,bone-density-test,DXA bone density scan,DEXA Scan,
proc_hip_replacement,fam_joint_replacement,Hip Replacement,hip-replacement,Hip joint replacement surgery,Hip Replacement,"hip surgery,total hip,tha,hip arthroplasty,new hip"
proc_hip_x_ray,fam_x_ray,Hip X-Ray,hip-x-ray,Hip X-ray,Hip X-Ray,
proc_hiv_1_antigen_with_antibodies,fam_blood_test,HIV Combo Test,hiv-combo-test,HIV antigen/antibody,HIV Combo,
proc_hiv_antibody_test,fam_blood_test,HIV Test,hiv-test,HIV screening,HIV Test,"hiv test,aids test,hiv screening"
proc_home_visit,fam_home_visit,Home Visit,home-visit,Medical care at patient home,Home Doctor Visit,
proc_hospital_discharge_day_30_min_or_less,fam_hospital_care,Hospital Discharge,hospital-discharge,Discharge planning and instructions,Discharge,
proc_hydralazine_injection,fam_injection,Hydralazine Injection,hydralazine-injection,Blood pressure medication,Hydralazine,
proc_hysterectomy_after_cesarean,fam_delivery,Emergency Hysterectomy,emergency-hysterectomy,Uterus removal after C-section,Emergency Hysterectomy,
proc_immunohistochemistry,fam_pathology,Immunohistochemistry,immunohistochemistry,Special tissue stain,IHC,
proc_incision_and_drainage_abscess,fam_abscess,Abscess Drainage,abscess-drainage,Draining infected collection,Abscess I&D,
proc_influenza_doo_immunoassay,fam_immunoassay,Flu Rapid Test,flu-rapid,Influenza rapid test,Flu Test,
proc_influenza_vaccine,fam_vaccine,Flu Vaccine,flu-vaccine,Influenza vaccination,Flu Shot,"flu shot,flu vaccine,influenza shot,flu jab"
proc_inguinal_hernia_repair,fam_hernia,Groin Hernia Repair,groin-hernia-repair,Inguinal hernia surgery,Groin Hernia Repair,
proc_initial_hospital_care,fam_hospital_care,Hospital Admission,hospital-admission,First day hospital care,Hospital Admission,
proc_initial_nursing_facility_care,fam_nursing_facility_care,Nursing Facility Admission,nursing-admission,Initial nursing facility evaluation,Nursing Home Admission,
proc_intermediate_laceration_repair,fam_wound_repair,Intermediate Wound Repair,intermediate-wound-repair,Stitches for deeper cuts,Deep Stitches,
proc_iron_binding_capacity,fam_blood_test,Iron Binding Test,iron-binding-test,TIBC test,TIBC,
proc_iron_blood_test,fam_blood_test,Iron Test,iron-test,Serum iron level,Iron,
proc_iv_infusion_hydration,fam_infusion,IV Hydration,iv-hydration,Intravenous fluid administration,IV Fluids,
proc_iv_infusion_therapeutic,fam_infusion,IV Medication Infusion,iv-medication,Intravenous medication delivery,IV Medication,
proc_iv_push,fam_infusion,IV Push Medication,iv-push,Quick IV medication injection,IV Push,
proc_knee_arthrography,fam_joint_clinical_procedure,Knee Arthrogram,knee-arthrogram,Knee joint imaging with contrast,Knee Arthrogram,
proc_knee_replacement,fam_joint_replacement,Knee Replacement,knee-replacement,Knee joint replacement surgery,Knee Replacement,"knee surgery,total knee,tka,knee arthroplasty,new knee"
proc_knee_x_ray,fam_x_ray,Knee X-Ray,knee-x-ray,Knee X-ray,Knee X-Ray,"knee xray,knee injury,knee pain xray,knee film"
proc_lactate,fam_blood_test,Lactate Test,lactate-test,Lactic acid level,Lactate,
proc_laparoscopic_cholecystectomy,fam_gallbladder,Laparoscopic Gallbladder Removal,lap-cholecystectomy,Minimally invasive gallbladder surgery,Lap Chole,"gallbladder surgery,lap chole,gallbladder removal,gallstone surgery"
proc_laparoscopic_inguinal_hernia_repair,fam_hernia,Laparoscopic Hernia Repair,lap-hernia-repair,Minimally invasive hernia surgery,Lap Hernia,
proc_ldh,fam_blood_test,LDH Test,ldh-test,Tissue damage marker,LDH,
proc_ldl_cholesterol,fam_blood_test,LDL Cholesterol,ldl-cholesterol,Bad cholesterol,LDL,
proc_leg_arteries_ultrasound,fam_ultrasound,Leg Arterial Ultrasound,leg-arterial-ultrasound,Leg artery ultrasound,Leg Arterial,
proc_leg_ct_scan,fam_ct_scan,Leg CT Scan,leg-ct,Leg CT imaging,Leg CT,
proc_leg_joint_mri,fam_mri,Leg Joint MRI,leg-joint-mri,Knee/ankle MRI,Leg Joint MRI,
proc_leg_mri,fam_mri,Leg MRI,leg-mri,Leg MRI scan,Leg MRI,
proc_lens_intraocular,fam_eye_implant,Intraocular Lens,intraocular-lens,Artificial eye lens,IOL,
proc_lidocaine_injection,fam_injection,Lidocaine Injection,lidocaine-injection,Local anesthetic,Lidocaine,
proc_lipids_blood_test,fam_blood_test,Lipid Panel,lipid-panel,Cholesterol test,Cholesterol,"cholesterol panel,lipid profile,heart health test,cholesterol test"
proc_lower_extremity_x_ray,fam_x_ray,Full Leg X-Ray,full-leg-x-ray,Entire leg X-ray,Leg X-Ray,
proc_lower_leg_x_ray,fam_x_ray,Lower Leg X-Ray,lower-leg-x-ray,Shin X-ray,Shin X-Ray,
